time_s,"state:p_n","state:p_e","state:p_d","state:u","state:v","state:w","state:q_w","state:q_x","state:q_y","state:q_z","state:p","state:q","state:r","state:omega_0","state:omega_1","state:omega_2","state:omega_3","command:omega_command_0_rad_s","command:omega_command_1_rad_s","command:omega_command_2_rad_s","command:omega_command_3_rad_s","wind:north_m_s","wind:east_m_s","wind:down_m_s"
0,0,0,-100,0,0,0,1,0,0,0,0,0,0,626.31142413339387,626.31142413339387,626.31142413339387,626.31142413339387,632,632,632,632,0,0,0
0.02,0,0,-100.00000592072203,0,0,-0.00084937541611377287,1,0,0,0,0,0,0,628.78755524892279,628.78755524892279,628.78755524892279,628.78755524892279,632,632,632,632,0,0,0
0.040000000000000001,0,0,-100.00004177160915,0,0,-0.0028808767167850186,1,0,0,0,0,0,0,630.18587261193011,630.18587261193011,630.18587261193011,630.18587261193011,632,632,632,632,0,0,0
0.059999999999999998,0,0,-100.00012554568261,0,0,-0.0055780654761766052,1,0,0,0,0,0,0,630.97552847281122,630.97552847281122,630.97552847281122,630.97552847281122,632,632,632,632,0,0,0
0.080000000000000002,0,0,-100.0002673532712,0,0,-0.0086482002143992032,1,0,0,0,0,0,0,631.42146184610715,631.42146184610715,631.42146184610715,631.42146184610715,632,632,632,632,0,0,0
0.10000000000000001,0,0,-100.00047284012005,0,0,-0.011925615572400116,1,0,0,0,0,0,0,631.67328872825965,631.67328872825965,631.67328872825965,631.67328872825965,632,632,632,632,0,0,0
0.12,0,0,-100.00074512660565,0,0,-0.015316647907015913,1,0,0,0,0,0,0,631.81550005930649,631.81550005930649,631.81550005930649,631.81550005930649,632,632,632,632,0,0,0
0.14000000000000001,0,0,-100.00108590570238,0,0,-0.018768370767153229,1,0,0,0,0,0,0,631.89580944687145,631.89580944687145,631.89580944687145,631.89580944687145,632,632,632,632,0,0,0
0.16,0,0,-100.00149606393717,0,0,-0.022250887215951802,1,0,0,0,0,0,0,631.94116165392552,631.94116165392552,631.94116165392552,631.94116165392552,632,632,632,632,0,0,0
0.17999999999999999,0,0,-100.00197603234641,0,0,-0.025747313361819735,1,0,0,0,0,0,0,631.96677289000945,631.96677289000945,631.96677289000945,631.96677289000945,632,632,632,632,0,0,0
0.20000000000000001,0,0,-100.00252598476185,0,0,-0.029248116559965062,1,0,0,0,0,0,0,631.98123603207807,631.98123603207807,631.98123603207807,631.98123603207807,610,660,660,610,0,0,0
0.22,6.2149981687578354e-08,-1.6479361171857344e-22,-100.00314922159588,5.4163246290677885e-06,-1.8157085099253935e-20,-0.033222246750714869,0.99999998896602038,-1.2217132565240204e-19,-0.00014855288355443115,1.1728593597701801e-23,-9.6328660703958427e-18,-0.042624897410247206,-7.1625303241309009e-38,622.41321342446406,644.17728209114659,644.17728209114659,622.41321342446406,610,660,660,610,0,0,0
0.24000000000000002,1.830482586269557e-06,-1.3137542650976456e-21,-100.00385954352288,0.00014189215959105301,-7.9202166311005632e-20,-0.037900829785667806,0.99999945058836803,-1.8624142488490759e-19,-0.0010482475671918662,1.4701029010788134e-22,3.2504275773163969e-18,-0.14460777497114879,-1.0456416548337683e-40,617.00997283757965,651.06461647238325,651.06461647238325,617.00997283757965,610,660,660,610,0,0,0
0.26000000000000001,1.2839753592300396e-05,-3.7500936471972342e-21,-100.00466803167257,0.00074940295473155502,-1.3656234605967902e-19,-0.04300633721963857,0.9999950353751047,-8.3045117895510066e-20,-0.0031510673022294529,5.8672860412122021e-22,9.6685560083595954e-18,-0.28006093267795662,7.6376264432231817e-37,613.95866223380642,654.95402248554706,654.95402248554706,613.95866223380642,610,660,660,610,0,0,0
0.28000000000000003,5.019141962107253e-05,-6.7650480823689539e-21,-100.0055811320297,0.0023045305142110175,-1.5266843063890396e-19,-0.048372092958163006,0.9999774784596438,1.996567400986306e-20,-0.0067113764231079833,1.0835869842141886e-21,-3.4717763470932883e-21,-0.43430722767096053,-1.050939791121739e-36,612.23553030011112,657.15044250784877,657.15044250784877,612.23553030011112,610,660,660,610,0,0,0
0.30000000000000004,0.00014265730296727399,-9.6474479743730487e-21,-100.00660223259138,0.0053604275772562949,-1.4291220178003582e-19,-0.053925518929269084,0.99992953119341932,1.0998880445481943e-19,-0.011871505688359183,1.7309033113939483e-21,1.2853023383701714e-17,-0.5990399068426292,-3.8193717422788749e-36,611.26244560094972,658.39080180642566,658.39080180642566,611.26244560094972,610,660,660,610,0,0,0
0.32000000000000001,0.00033183862881336768,-1.171571073827098e-20,-100.00773253536106,0.010512086983282383,-9.272387782089078e-20,-0.059676599059943339,0.99982494863921345,1.8696501768028564e-19,-0.018710213216161065,1.8518791247838639e-21,6.4035613675751138e-18,-0.76956231668577768,-3.8144375984663708e-36,610.71292654600927,659.09125580609066,659.09125580609066,610.71292654600927,610,660,660,610,0,0,0
0.34000000000000002,0.00067278512772349613,-1.2297093048081056e-20,-100.00897133838403,0.018374991976702289,-1.4672582200410636e-20,-0.06571570035069263,0.99962810497777221,2.3808038963265427e-19,-0.027269978704574961,1.145268378266028e-21,-6.4774791247466092e-18,-0.94322051910134341,-5.1450796836657783e-36,610.40260289997627,659.48681522682455,659.48681522682455,610.40260289997627,610,660,660,610,0,0,0
0.35999999999999999,0.0012342995946691495,-1.1118970690601583e-20,-100.01031587734431,0.029570392512666362,6.8481182423230489e-20,-0.072218467192937535,0.99929391352754615,2.2483720987212324e-19,-0.037572255545829998,-1.1878141691827511e-21,1.6051086774285621e-17,-1.1185154187286099,-6.4743677486381185e-36,610.22735735676645,659.71019499966633,659.71019499966633,610.22735735676645,610,660,660,610,0,0,0
0.38,0.002099048480081126,-7.9925153903205581e-21,-100.01176083974399,0.044713226780631443,1.6373595786083346e-19,-0.079455034546834211,0.99876787741419604,3.7220841912494883e-19,-0.049625870728297689,1.5552912811412204e-21,2.2461508878006917e-17,-1.2946004903883901,-2.6466174816345705e-36,610.12839293427567,659.83634171821063,659.83634171821063,610.12839293427567,610,660,660,610,0,0,0
